container_id,container_sku,Type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,,,,,
59,40HCRFCLATL,Refrigerated Container,40HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
60,40HCRFBNATL,Refrigerated Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
61,20OTASATL,Open Top Container,20DC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
62,20OTWWATL,Open Top Container,20DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
63,20OTCWATL,Open Top Container,20DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
64,20OTCLATL,Open Top Container,20DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
65,20OTBNATL,Open Top Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
66,40HCOTASATL,Open Top Container,40HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
67,40HCOTWWATL,Open Top Container,40HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
68,40HCOTCWATL,Open Top Container,40HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
69,40HCOTCLATL,Open Top Container,40HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
70,40HCOTBNATL,Open Top Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
81,20DCASBAL,Standard Container,20DC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
82,20DCWWBAL,Standard Container,20DC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
83,20DCCWBAL,Standard Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
84,20DCCLBAL,Standard Container,20DC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
85,20DCBNBAL,Standard Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
86,20HCASBAL,Standard Container,20HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
87,20HCWWBAL,Standard Container,20HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
88,20HCCWBAL,Standard Container,20HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
89,20HCCLBAL,Standard Container,20HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
