container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date
88,20OTBNCGY,20DC Brand New Open Top Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,8500,GCE,T2C2S3,2025-05-30
89,40HCOTCWCGY,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,8800,GCE,T2C2S3,2025-05-30
90,40HCOTBNCGY,40HC Brand New Open Top Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,13000,GCE,T2C2S3,2025-05-30
91,20DCWWCHI,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Chicago,41.51625,-88.089083,2025-05-30,1900,GCE,60436,2025-05-30
92,20DCCWCHI,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,2000,GCE,60436,2025-05-30
93,20DCCLCHI,20DC IICL Container,20DC,IICL,Chicago,41.51625,-88.089083,2025-05-30,2400,GCE,60436,2025-05-30
94,20DCBNCHI,20DC Brand New Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,3000,GCE,60436,2025-05-30
95,20HCBNCHI,20HC Brand New Container,20HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,3800,GCE,60436,2025-05-30
96,40DCWWCHI,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Chicago,41.51625,-88.089083,2025-05-30,2200,GCE,60436,2025-05-30
97,40DCCWCHI,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,2300,GCE,60436,2025-05-30
98,40DCCLCHI,40DC IICL Container,40DC,IICL,Chicago,41.51625,-88.089083,2025-05-30,3600,GCE,60436,2025-05-30
99,40DCBNCHI,40DC Brand New Container,40DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,4400,GCE,60436,2025-05-30
100,40HCWWCHI,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Chicago,41.51625,-88.089083,2025-05-30,2500,GCE,60436,2025-05-30
101,40HCCWCHI,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,2600,GCE,60436,2025-05-30
102,40HCCLCHI,40HC IICL Container,40HC,IICL,Chicago,41.51625,-88.089083,2025-05-30,3500,GCE,60436,2025-05-30
103,40HCBNCHI,40HC Brand New Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,4300,GCE,60436,2025-05-30
104,45HCBNCHI,45HC Brand New Container,45HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,11000,GCE,60436,2025-05-30
105,53HCBNCHI,53HC Brand New Container,53HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,18500,GCE,60436,2025-05-30
106,20SDBNCHI,20DC Brand New Side Door Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,4800,GCE,60436,2025-05-30
107,40HCSDBNCHI,40HC Brand New Side Door Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,6500,GCE,60436,2025-05-30
108,20DDBNCHI,20DC Brand New Double Door Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,3800,GCE,60436,2025-05-30
110,40HCDDBNCHI,40HC Brand New Double Door Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,5200,GCE,60436,2025-05-30
113,20RFBNCHI,20DC Brand New Refrigerated Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,18500,GCE,60436,2025-05-30
114,40HCRFASCHI,40HC AS-IS Refrigerated Container,40HC,AS IS ,Chicago,41.51625,-88.089083,2025-05-30,4200,GCE,60436,2025-05-30
116,40HCRFBNCHI,40HC Brand New Refrigerated Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,25000,GCE,60436,2025-05-30
117,20OTCWCHI,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,6200,GCE,60436,2025-05-30
118,20OTBNCHI,20DC Brand New Open Top Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,8000,GCE,60436,2025-05-30
119,40HCOTCWCHI,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,8000,GCE,60436,2025-05-30
120,40HCOTBNCHI,40HC Brand New Open Top Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,13000,GCE,60436,2025-05-30
121,20DCWWCIN,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Cincinnati,39.341965,-84.406761,2025-05-30,1900,GCE,45069,2025-05-30
122,20DCCWCIN,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,2100,GCE,45069,2025-05-30
123,20DCCLCIN,20DC IICL Container,20DC,IICL,Cincinnati,39.341965,-84.406761,2025-05-30,2700,GCE,45069,2025-05-30
124,20DCBNCIN,20DC Brand New Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,3200,GCE,45069,2025-05-30
125,20HCBNCIN,20HC Brand New Container,20HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4200,GCE,45069,2025-05-30
126,40DCWWCIN,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Cincinnati,39.341965,-84.406761,2025-05-30,2200,GCE,45069,2025-05-30
127,40DCCWCIN,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,2300,GCE,45069,2025-05-30
128,40DCCLCIN,40DC IICL Container,40DC,IICL,Cincinnati,39.341965,-84.406761,2025-05-30,3600,GCE,45069,2025-05-30
