container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,location_name,
49,40HCOTCWBAL,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,8800,GCE,21224,2025-05-30,,,,,
50,40HCOTBNBAL,40HC Brand New Open Top Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,13000,GCE,21224,2025-05-30,,,,,
51,20DCWWCGY,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,8500,GCE,T2C2S3,2025-05-30,,,,,
52,20DCCWCGY,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,2200,GCE,T2C2S3,2025-05-30,,,,,
53,20DCCLCGY,20DC IICL Container,20DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,2700,GCE,T2C2S3,2025-05-30,,,,,
54,20DCBNCGY,20DC Brand New Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,3100,GCE,T2C2S3,2025-05-30,,,,,
55,20HCBNCGY,20HC Brand New Container,20HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4200,GCE,T2C2S3,2025-05-30,,,,,
56,40DCWWCGY,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,2500,GCE,T2C2S3,2025-05-30,,,,,
57,40DCCWCGY,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,2800,GCE,T2C2S3,2025-05-30,,,,,
58,40DCCLCGY,40DC IICL Container,40DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,4000,GCE,T2C2S3,2025-05-30,,,,,
59,40DCBNCGY,40DC Brand New Container,40DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4800,GCE,T2C2S3,2025-05-30,,,,,
60,40HCWWCGY,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,2750,GCE,T2C2S3,2025-05-30,,,,,
61,40HCCWCGY,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,3000,GCE,T2C2S3,2025-05-30,,,,,
62,40HCCLCGY,40HC IICL Container,40HC,IICL,Calgary,51.04427,-114.062019,2025-05-30,3750,GCE,T2C2S3,2025-05-30,,,,,
63,40HCBNCGY,40HC Brand New Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4750,GCE,T2C2S3,2025-05-30,,,,,
64,45HCBNCGY,45HC Brand New Container,45HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,11000,GCE,T2C2S3,2025-05-30,,,,,
65,53HCBNCGY,53HC Brand New Container,53HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,18500,GCE,T2C2S3,2025-05-30,,,,,
66,20SDBNCGY,20DC Brand New Side Door Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,5200,GCE,T2C2S3,2025-05-30,,,,,
67,40HCSDBNCGY,40HC Brand New Side Door Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,7000,GCE,T2C2S3,2025-05-30,,,,,
68,20DDBNCGY,20DC Brand New Double Door Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4200,GCE,T2C2S3,2025-05-30,,,,,
69,40HCDDBNCGY,40HC Brand New Double Door Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,5200,GCE,T2C2S3,2025-05-30,,,,,
70,40HCRFASCGY,40HC AS-IS Refrigerated Container,40HC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,4200,GCE,T2C2S3,2025-05-30,,,,,
71,40HCRFBNCGY,40HC Brand New Refrigerated Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,25000,GCE,T2C2S3,2025-05-30,,,,,
72,20OTCWCGY,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,6200,GCE,T2C2S3,2025-05-30,,,,,
73,20OTBNCGY,20DC Brand New Open Top Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,8500,GCE,T2C2S3,2025-05-30,,,,,
74,40HCOTCWCGY,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,8800,GCE,T2C2S3,2025-05-30,,,,,
75,40HCOTBNCGY,40HC Brand New Open Top Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,13000,GCE,T2C2S3,2025-05-30,,,,,
76,20DCWWCHI,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Chicago,41.51625,-88.089083,2025-05-30,1900,GCE,60436,2025-05-30,,,,,
77,20DCCWCHI,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,2000,GCE,60436,2025-05-30,,,,,
78,20DCCLCHI,20DC IICL Container,20DC,IICL,Chicago,41.51625,-88.089083,2025-05-30,2400,GCE,60436,2025-05-30,,,,,
79,20DCBNCHI,20DC Brand New Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,3000,GCE,60436,2025-05-30,,,,,
80,20HCBNCHI,20HC Brand New Container,20HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,3800,GCE,60436,2025-05-30,,,,,
81,40DCWWCHI,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Chicago,41.51625,-88.089083,2025-05-30,2200,GCE,60436,2025-05-30,,,,,
82,40DCCWCHI,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,2300,GCE,60436,2025-05-30,,,,,
83,40DCCLCHI,40DC IICL Container,40DC,IICL,Chicago,41.51625,-88.089083,2025-05-30,3600,GCE,60436,2025-05-30,,,,,
84,40DCBNCHI,40DC Brand New Container,40DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,4400,GCE,60436,2025-05-30,,,,,
85,40HCWWCHI,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Chicago,41.51625,-88.089083,2025-05-30,2500,GCE,60436,2025-05-30,,,,,
86,40HCCWCHI,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,2600,GCE,60436,2025-05-30,,,,,
87,40HCCLCHI,40HC IICL Container,40HC,IICL,Chicago,41.51625,-88.089083,2025-05-30,3500,GCE,60436,2025-05-30,,,,,
88,40HCBNCHI,40HC Brand New Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,4300,GCE,60436,2025-05-30,,,,,
89,45HCBNCHI,45HC Brand New Container,45HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,11000,GCE,60436,2025-05-30,,,,,
90,53HCBNCHI,53HC Brand New Container,53HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,18500,GCE,60436,2025-05-30,,,,,
91,20SDBNCHI,20DC Brand New Side Door Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,4800,GCE,60436,2025-05-30,,,,,
92,40HCSDBNCHI,40HC Brand New Side Door Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,6500,GCE,60436,2025-05-30,,,,,
93,20DDBNCHI,20DC Brand New Double Door Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,3800,GCE,60436,2025-05-30,,,,,
94,40HCDDBNCHI,40HC Brand New Double Door Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,5200,GCE,60436,2025-05-30,,,,,
95,40HCRFASCHI,40HC AS-IS Refrigerated Container,40HC,AS IS ,Chicago,41.51625,-88.089083,2025-05-30,4200,GCE,60436,2025-05-30,,,,,
96,40HCRFBNCHI,40HC Brand New Refrigerated Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,25000,GCE,60436,2025-05-30,,,,,
97,20OTCWCHI,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,6200,GCE,60436,2025-05-30,,,,,
98,20OTBNCHI,20DC Brand New Open Top Container,20DC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,8000,GCE,60436,2025-05-30,,,,,
99,40HCOTCWCHI,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Chicago,41.51625,-88.089083,2025-05-30,8000,GCE,60436,2025-05-30,,,,,
100,40HCOTBNCHI,40HC Brand New Open Top Container,40HC,Brand New,Chicago,41.51625,-88.089083,2025-05-30,13000,GCE,60436,2025-05-30,,,,,
101,20DCWWCIN,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Cincinnati,39.341965,-84.406761,2025-05-30,1900,GCE,45069,2025-05-30,,,,,
102,20DCCWCIN,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,2100,GCE,45069,2025-05-30,,,,,
103,20DCCLCIN,20DC IICL Container,20DC,IICL,Cincinnati,39.341965,-84.406761,2025-05-30,2700,GCE,45069,2025-05-30,,,,,
104,20DCBNCIN,20DC Brand New Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,3200,GCE,45069,2025-05-30,,,,,
105,20HCBNCIN,20HC Brand New Container,20HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4200,GCE,45069,2025-05-30,,,,,
106,40DCWWCIN,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Cincinnati,39.341965,-84.406761,2025-05-30,2200,GCE,45069,2025-05-30,,,,,
107,40DCCWCIN,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,2300,GCE,45069,2025-05-30,,,,,
