Country,City,Code,Depot Name,Address (Short),Latitude,Longitude,,
Qatar,Doha,DOHB,Gulf Warehousing Company Shipping Services,"Logistics Village Qatar, Wadi Aba Saleel, Doha",25.1555,51.5197,,
India,Dadri,DRIB,Jay Container Services Co (P) Ltd.,"Surajpur By pass Indl. Area, Greater Noida, U.P 201306",28.5728,77.4916,,
Germany,Duisburg,DSBA,Duisburg Container Terminal Gm,"Alte Ruhrorter Strasse 20-22, 47119 Duisburg",51.4547,6.7577,,
Germany,Duisburg,DSBB,Rhenus Intermodal Systems NV,"Moerserstrasse 143, 47059 Duisburg",51.4413,6.7367,,
USA,Cleveland,CLEA,ITS Conglobal - 5155 Warner Road,"5155 Warner Road, Cleveland OH 44125",41.4203,-81.636,,
Ireland,Dublin,DUBF,Containexperts Limited,"Merrywell Industrial Estate, Ballymount Road Lower, Dublin 12",53.3131,-6.3436,,
South Africa,Durban,DURH,Bridge Port,"151 South Coast Road, Rossburgh, Durban 4094",-29.8946,30.995,,
South Africa,Durban,DURJ,Southway Freight (Pty) Ltd,"1A Airport Road, Prospecton, Durban 4133",-29.9637,30.9766,,
South Africa,Durban,DURN,Southway Freight (Pty) Ltd - Compound Road,"1 Compound Road, Seaview, Durban",-29.8929,30.9767,,
USA,Columbus,CMHA,ITS ConGlobal,"2400 Creekway Drive, Columbus OH 43207",39.9087,-82.9632,,
Mexico,Ensenada,ENSONE,Deposito de Contenedores Ensenada-CIMA Group,"Carretera libre Tecate-Ensenada, Km 103.5, El Sauzal de Rodriguez",31.9151,-116.764,,
Netherlands,Flushing,FLUA,Verbrugge Terminals B.V. (Zwennis),"Engelandweg 12, 4389 PC Ritthem (Vlissingen-Oost)",51.4546,3.6922,,
UK,Felixstowe,FLXA,Eldapoint Ltd.,"Sub-station Road, The Dock, Felixstowe IP11 8HG",51.9633,1.308,,
France,Fos Sur Mer,FOS03,Arnal Fos-sur-Mer,"Darse 2, Secteur 86, Port St. Louis, 13516 Fos Sur Mer",43.4399,4.9444,,
France,Fos Sur Mer,FOS06,Arnal Ventillon,"Zone Du Ventillon, 13270 Fos Sur Mer",43.4413,4.9281,,
France,Fos Sur Mer,FOSA,Trailer & Container Service - Fos Sur Mer,"Zone de Service Portuaire, Graveleau, 13270 Fos Sur Mer",43.4377,4.9252,,
Australia,Fremantle,FREA,Qube Logistics,"17 Rous Head Road, North Fremantle 6159",-32.037,115.7362,,
Brazil,Fortaleza,FTZC,TERMACO Terminais Maritimos,"Rua Ismael PorDeus, 70, Vicente Pinzon, Fortaleza 60182-712",-3.7184,-38.4823,,
China,Fuzhou,FUZA,Sinotrans Xiamen Greating-Fort,"76 Road East LuoXing, MaWei, Fuzhou 350015",26.0177,119.5346,,
Poland,Gdansk,GDNC,Ref-Con Service Sp.J. - Depot Gdansk,"70 Sucharskiego Str, 80-601 Gdansk",54.3807,18.6646,,
Poland,Gdynia,GDYB,Ref-Con Service - Core Depot,"Hutnicza 1, 81-061 Gdynia",54.5581,18.4654,,
Turkey,Gebze,GEBA,ARKAS LOGISTIC SA. - Gebze,"Tavsanli Köyü, Köyyeri Mevkii, Gebze / Kocaeli",40.8018,29.4306,,
Turkey,Gemlik,GEMA,Arkas Logistics Gemlik Depot,"Engurucuk Koyu, Gemlik, Bursa",40.4319,29.1593,,
