ORIGIN,DESTINATION,Container Size,Price,Free Days,Per Diem
Moscow,Chennai,40HC,$120,60,$10.00
Minsk,Laem Chabang,40HC,$50,60,$10.00
Minsk,Chongqing,40HC,$940,60,$10.00
Minsk,Changsha,40HC,$670,60,$10.00
Milano,Zhengzhou,40HC,$150,60,$10.00
Milano,Xian,40HC,$160,60,$10.00
Milano,Tianjin,40HC,$220,60,$10.00
Milano,Ningbo,40HC,$150,60,$10.00
Milano,Moscow,40HC,$450,60,$10.00
Milano,Minsk,40HC,$480,60,$10.00
Milano,Malaszewicze,40HC,$480,60,$10.00
Malaszewicze,Xingang,40HC,"$1,660",60,$10.00
Malaszewicze,Ho Chi Minh City,40HC,$850,60,$10.00
Laem Chabang,"Yekaterinburg, Sve",40HC,"$1,430",60,$10.00
Laem Chabang,Warsaw,40HC,"$1,340",60,$10.00
Laem Chabang,Vladivostok,40HC,"$1,700",60,$10.00
Laem Chabang,Vienna,40HC,$10,60,$10.00
Laem Chabang,"Vancouver, BC",40HC,$200,60,$10.00
Laem Chabang,"Toronto, ON",40HC,$580,60,$10.00
Laem Chabang,"Tacoma, WA",40HC,$580,60,$10.00
Laem Chabang,St Petersburg,40HC,"$1,100",60,$10.00
Laem Chabang,"Savannah, GA",40HC,$770,60,$10.00
Laem Chabang,"Saint Louis, MO",40HC,$860,60,$10.00
Laem Chabang,Rotterdam,40HC,$960,60,$10.00
Laem Chabang,"Oakland, CA",40HC,$50,60,$10.00
Laem Chabang,Novosibirsk,40HC,"$1,310",60,$10.00
Laem Chabang,"New York, NY",40HC,$390,60,$10.00
Laem Chabang,Munich,40HC,$10,60,$10.00
Laem Chabang,"Montreal, QC",40HC,$770,60,$10.00
Laem Chabang,"Miami, FL",40HC,$390,60,$10.00
Laem Chabang,"Memphis, TN",40HC,$290,60,$10.00
Laem Chabang,Marseille,40HC,$10,60,$10.00
Laem Chabang,Lyon,40HC,"$1,340",60,$10.00
Laem Chabang,"Long Beach, CA",40HC,$580,60,$10.00
Laem Chabang,Liverpool,40HC,$720,60,$10.00
Laem Chabang,Le Havre,40HC,$10,60,$10.00
Laem Chabang,"Jacksonville, FL",40HC,$860,60,$10.00
Laem Chabang,Irkutsk,40HC,$990,60,$10.00
Laem Chabang,Houston,40HC,$200,60,$10.00
Laem Chabang,Hamburg,40HC,"$1,120",60,$10.00
Laem Chabang,"Halifax, NS",40HC,$100,60,$10.00
Laem Chabang,Gothenburg,40HC,$10,60,$10.00
Laem Chabang,Dunkerque,40HC,$10,60,$10.00
Laem Chabang,"Detroit, MI",40HC,$580,60,$10.00
Laem Chabang,Copenhagen,40HC,$10,60,$10.00
Laem Chabang,Budapest,40HC,"$1,340",60,$10.00
Laem Chabang,"Atlanta, GA",40HC,$290,60,$10.00
Laem Chabang,Antwerp,40HC,"$1,390",60,$10.00
Krasnojarsk,Mundra,40HC,$290,60,$10.00
Krasnojarsk,Izmir,40HC,$290,60,$10.00
Kobe,Moscow,40HC,"$1,340",60,$10.00
Kobe,Minsk,40HC,"$1,630",60,$10.00
Karachi,"Yekaterinburg, Sve",40HC,"$1,210",60,$10.00
Karachi,St Petersburg,40HC,$910,60,$10.00
Karachi,Rotterdam,40HC,$770,60,$10.00
Karachi,Novosibirsk,40HC,"$1,250",60,$10.00
Karachi,Moscow,40HC,"$1,020",60,$10.00
Karachi,Antwerp,40HC,$770,60,$10.00
Jeddah,St Petersburg,40HC,$290,60,$10.00
Jebel Ali,St Petersburg,40HC,"$1,350",60,$10.00
Jebel Ali,Rotterdam,40HC,$770,60,$10.00
Shenzhen,"Winnipeg, MB",20GP,$150,100,$5.00
Shenzhen,Warsaw,40GP,"$1,090",75,$10.00
Jebel Ali,Novosibirsk,40HC,"$1,270",60,$10.00
Shenzhen,Vladivostok,40GP,"$1,070",60,$10.00
Shenzhen,Vladivostok,20GP,"$1,560",60,$5.00
Shenzhen,"Vancouver, BC",20GP,$300,100,$5.00
Jebel Ali,Moscow,40HC,"$1,420",60,$10.00
Shenzhen,"Toronto, ON",20GP,$310,100,$5.00
Jebel Ali,Jebel Ali,40HC,$230,60,$10.00
Jebel Ali,Hamburg,40HC,$770,60,$10.00
Jebel Ali,Antwerp,40HC,$770,60,$10.00
Shenzhen,"Tacoma, WA",20GP,$445,60,$5.00
Jakarta,Vienna,40HC,$10,60,$10.00
Jakarta,"Toronto, ON",40HC,$10,60,$10.00
Jakarta,St Petersburg,40HC,"$1,690",60,$10.00
Jakarta,"Saint Louis, MO",40HC,$10,60,$10.00
Jakarta,Munich,40HC,$10,60,$10.00
Jakarta,Marseille,40HC,$10,60,$10.00
Shenzhen,"Seattle, WA",20GP,$340,75,$5.00
Jakarta,Liverpool,40HC,$10,60,$10.00
Jakarta,Le Havre,40HC,$10,60,$10.00
Jakarta,Gothenburg,40HC,$10,60,$10.00
Jakarta,"Dallas, TX",40HC,$10,60,$10.00
Jakarta,Copenhagen,40HC,$10,60,$10.00
Istanbul,Yantian,40HC,$10,60,$10.00
Istanbul,St Petersburg,40HC,$410,60,$10.00
Istanbul,Shanghai,40HC,$570,60,$10.00
Istanbul,Ningbo,40HC,$580,60,$10.00
Istanbul,Chennai,40HC,$100,60,$10.00
Huangpu,Southampton,40HC,"$1,380",60,$10.00
Huangpu,Helsinki,40HC,$10,60,$10.00
Huangpu,Aarhus,40HC,$10,60,$10.00
Ho Chi Minh City,"Yekaterinburg, Sve",40HC,"$2,400",60,$10.00
Ho Chi Minh City,"Winnipeg, MB",40HC,$400,60,$10.00
Ho Chi Minh City,Warsaw,40HC,"$1,600",60,$10.00
Ho Chi Minh City,Vladivostok,40HC,"$2,480",60,$10.00
Ho Chi Minh City,Vienna,40HC,$10,60,$10.00
Shenzhen,Moscow,40GP,"$1,430",75,$10.00
Ho Chi Minh City,"Tacoma, WA",40HC,$410,60,$10.00
Ho Chi Minh City,Southampton,40HC,"$2,200",60,$10.00
Shenzhen,Moscow,20GP,"$1,200",60,$5.00
Ho Chi Minh City,"Savannah, GA",40HC,$710,60,$10.00
Ho Chi Minh City,"Saint Louis, MO",40HC,$900,60,$10.00
Ho Chi Minh City,Rotterdam,40HC,"$1,150",60,$10.00
Ho Chi Minh City,Praha,40HC,"$2,870",60,$10.00
Ho Chi Minh City,Oslo,40HC,"$2,870",60,$10.00
Ho Chi Minh City,Novosibirsk,40HC,"$3,120",60,$10.00
Ho Chi Minh City,Novorossiysk,40HC,"$3,150",60,$10.00
Ho Chi Minh City,Munich,40HC,$10,60,$10.00
Ho Chi Minh City,Moscow,40HC,"$3,030",60,$10.00
Ho Chi Minh City,Lyon,40HC,"$1,800",60,$10.00
Ho Chi Minh City,"Los Angeles, CA",40HC,$650,60,$10.00
Ho Chi Minh City,Liverpool,40HC,$10,60,$10.00
Shenzhen,Lyon,20GP,"$1,105",60,$5.00
Ho Chi Minh City,"Jacksonville, FL",40HC,$970,60,$10.00
Ho Chi Minh City,Irkutsk,40HC,"$2,480",60,$10.00
Ho Chi Minh City,Hamburg,40HC,"$1,190",60,$10.00
Ho Chi Minh City,"Halifax, NS",40HC,$100,60,$10.00
Ho Chi Minh City,Gothenburg,40HC,"$1,440",60,$10.00
Ho Chi Minh City,"Denver, CO",40HC,$640,60,$10.00
Ho Chi Minh City,Copenhagen,40HC,$10,60,$10.00
Ho Chi Minh City,Antwerp,40HC,"$1,020",60,$10.00
Hamburg,Nhava Sheva,40HC,$90,60,$10.00
Hamburg,Jebel Ali,40HC,$50,60,$10.00
Haiphong,Vladivostok,40HC,"$2,550",60,$10.00
Haiphong,Vienna,40HC,$10,60,$10.00
Haiphong,"Toronto, ON",40HC,$610,60,$10.00
Haiphong,"Tacoma, WA",40HC,$640,60,$10.00
Haiphong,"Savannah, GA",40HC,"$1,180",60,$10.00
Haiphong,"Saint Louis, MO",40HC,$960,60,$10.00
Haiphong,Novosibirsk,40HC,"$3,080",60,$10.00
Haiphong,"New York, NY",40HC,$860,60,$10.00
Haiphong,Munich,40HC,$10,60,$10.00
Haiphong,Liverpool,40HC,$10,60,$10.00
Haiphong,Leeds,40HC,$10,60,$10.00
Haiphong,Irkutsk,40HC,"$2,550",60,$10.00
Haiphong,Houston,40HC,$830,60,$10.00
Haiphong,Hamburg,40HC,"$2,000",60,$10.00
Haiphong,Gothenburg,40HC,$10,60,$10.00
Haiphong,Duisburg,40HC,"$2,000",60,$10.00
Haiphong,"Detroit, MI",40HC,$640,60,$10.00
Haiphong,"Denver, CO",40HC,$470,60,$10.00
Haiphong,Copenhagen,40HC,$10,60,$10.00
Haiphong,Aarhus,40HC,$10,60,$10.00
Shenzhen,"El Paso, TX",20GP,$445,60,$5.00
Guangzhou,"Yekaterinburg, Sve",40HC,"$2,110",60,$10.00
Shenzhen,Dunkerque,20GP,"$1,105",60,$5.00
Guangzhou,St Petersburg,40HC,"$2,340",60,$10.00
Guangzhou,Southampton,40HC,"$1,420",60,$10.00
Guangzhou,Oslo,40HC,$860,60,$10.00
Guangzhou,Munich,40HC,"$1,493",60,$10.00
Guangzhou,Moscow,40HC,"$2,490",60,$10.00
Guangzhou,Mersin,40HC,"$1,120",60,$10.00
Shenzhen,"Denver, CO",20GP,$445,60,$5.00
Guangzhou,London,40HC,"$1,310",60,$10.00
Guangzhou,Le Havre,40HC,$820,60,$10.00
Guangzhou,Izmir,40HC,"$1,180",60,$10.00
Guangzhou,Istanbul,40HC,"$1,070",60,$10.00
Guangzhou,Helsinki,40HC,$260,60,$10.00
Guangzhou,Gothenburg,40HC,$990,60,$10.00
Guangzhou,Felixstowe,40HC,"$1,150",60,$10.00
Guangzhou,Barcelona (Spain),40HC,"$2,080",60,$10.00
Guangzhou,Aarhus,40HC,$380,60,$10.00
Gebze,Rotterdam,40HC,$50,60,$10.00
Gebze,Rotterdam,40HC,$50,60,$10.00
Gebze,Novosibirsk,40HC,$200,60,$10.00
Gebze,Novorossiysk,40HC,$320,60,$10.00
Gebze,Ningbo,40HC,$550,60,$10.00
Gebze,Moscow,40HC,$390,60,$10.00
Gebze,London,40HC,$50,60,$10.00
Gebze,Leeds,40HC,$610,60,$10.00
Gebze,Karachi,40HC,$755,60,$10.00
Gebze,Hamburg,40HC,$50,60,$10.00
Fuzhou,"Baltimore, MD",40HC,$750,60,$10.00
Duisburg,Xian,40HC,$770,60,$10.00
Duisburg,Xiamen,40HC,$420,60,$10.00
Duisburg,Wuhan,40HC,$300,60,$10.00
Duisburg,Chengdu,40HC,$550,60,$10.00
Dalian,"Yekaterinburg, Sve",40HC,"$1,800",60,$10.00
Dalian,"Winnipeg, MB",40HC,$645,60,$10.00
Dalian,"Tacoma, WA",40HC,$740,60,$10.00
Dalian,"Seattle, WA",40HC,$740,60,$10.00
Dalian,"Saskatoon, SK",40HC,$645,60,$10.00
Dalian,Novosibirsk,40HC,"$1,510",60,$10.00
Dalian,Milano,40HC,"$1,630",60,$10.00
Dalian,Malaszewicze,40HC,"$1,970",60,$10.00
Dalian,Liverpool,40HC,"$1,390",60,$10.00
Dalian,Istanbul,40HC,"$1,320",60,$10.00
Shekou,Nhava Sheva,20GP,$50,100,$5.00
Shekou,Nhava Sheva,20GP,$50,100,$5.00
Dalian,Helsinki,40HC,$10,60,$10.00
Dalian,Hamburg,40HC,"$1,730",60,$10.00
Shekou,Mundra,20GP,$50,100,$5.00
Shekou,Mundra,20GP,$50,100,$5.00
Dalian,"Halifax, NS",40HC,$645,60,$10.00
Dalian,Gdansk,40HC,"$1,740",60,$10.00
Dalian,Duisburg,40HC,"$1,400",60,$10.00
Dalian,Chennai,40HC,$200,60,$10.00
Dalian,Budapest,40HC,"$1,830",60,$10.00
Dalian,Antwerp,40HC,"$1,130",60,$10.00
Dalian,Aarhus,40HC,$10,60,$10.00
Chongqing,"Yekaterinburg, Sve",40HC,"$2,470",60,$10.00
Chongqing,Southampton,40HC,"$1,760",60,$10.00
Chongqing,Rotterdam,40HC,"$1,580",60,$10.00
Chongqing,Praha,40HC,"$1,470",60,$10.00
Chongqing,Oslo,40HC,$750,60,$10.00
Chongqing,Novorossiysk,40HC,"$1,500",60,$10.00
Chongqing,Moscow,40HC,"$2,497",60,$10.00
Chongqing,Minsk,40HC,"$1,540",60,$10.00
Chongqing,Mersin,40HC,"$1,020",60,$10.00
Chongqing,Malaszewicze,40HC,"$1,988",60,$10.00
Chongqing,Madrid,40HC,"$1,600",60,$10.00
Chongqing,Le Havre,40HC,"$1,670",60,$10.00
Chongqing,Helsinki,40HC,$220,60,$10.00
Chongqing,Hamburg,40HC,"$1,713",60,$10.00
Chongqing,Grangemouth,40HC,"$2,110",60,$10.00
Chongqing,Genoa,40HC,"$1,890",60,$10.00
Chongqing,Duisburg,40HC,"$1,713",60,$10.00
Chongqing,Budapest,40HC,"$2,065",60,$10.00
Chongqing,Antwerp,40HC,"$1,580",60,$10.00
Chongqing,Aarhus,40HC,$340,60,$10.00
Chittagong,"Yekaterinburg, Sve",40HC,$423,60,$10.00
Chittagong,Rotterdam,40HC,$770,60,$10.00
Chittagong,Mundra,40HC,$50,60,$10.00
Chittagong,Moscow,40HC,"$1,010",60,$10.00
Chittagong,Malaszewicze,40HC,"$1,150",60,$10.00
Chittagong,Karachi,40HC,$50,60,$10.00
Chittagong,Hamburg,40HC,$820,60,$10.00
Chittagong,Antwerp,40HC,$770,60,$10.00
Chennai,"Yekaterinburg, Sve",40HC,"$1,100",60,$10.00
Chennai,Vladivostok,40HC,$810,60,$10.00
Chennai,Rotterdam,40HC,$480,60,$10.00
Chennai,Praha,40HC,$480,60,$10.00
Chennai,Mundra,40HC,$50,60,$10.00
Chennai,Moscow,40HC,$830,60,$10.00
Shanghai,"Yekaterinburg, Sve",40GP,"$1,510",60,$10.00
Chennai,Minsk,40HC,$480,60,$10.00
Chennai,Lodz,40HC,$480,60,$10.00
Shanghai,"Winnipeg, MB",20GP,$210,75,$5.00
Shanghai,Warsaw,40GP,"$1,450",60,$10.00
Chennai,Le Havre,40HC,$480,60,$10.00
Chennai,Hamburg,40HC,$480,60,$10.00
Shanghai,Vienna,40GP,$960,60,$10.00
Chennai,Fos Sur Mer,40HC,$480,60,$10.00
Shanghai,"Vancouver, BC",20GP,$355,75,$5.00
Chennai,Duisburg,40HC,$480,60,$10.00
Chennai,Dublin,40HC,$480,60,$10.00
Shanghai,"Tacoma, WA",20GP,$250,75,$5.00
Shanghai,St Petersburg,40GP,"$1,310",60,$10.00
Chennai,Antwerp,40HC,$480,60,$10.00
Shanghai,St Petersburg,20GP,"$1,050",60,$5.00
Shanghai,Southampton,40GP,"$2,160",60,$10.00
Chengdu,"Yekaterinburg, Sve",40HC,"$2,440",60,$10.00
Shanghai,"Seattle, WA",20GP,$180,75,$5.00
Chengdu,Southampton,40HC,"$2,110",60,$10.00
Shanghai,"Savannah, GA",20GP,$500,60,$5.00
Chengdu,Rotterdam,40HC,"$1,470",60,$10.00
Chengdu,Praha,40HC,"$1,890",60,$10.00
Shanghai,"Salt Lake City, UT",20GP,$445,60,$5.00
Chengdu,Oslo,40HC,$650,60,$10.00
Shanghai,"Saint Louis, MO",20GP,$410,100,$5.00
Shanghai,Rotterdam,40GP,$960,60,$10.00
Chengdu,Novosibirsk,40HC,"$2,213",60,$10.00
Chengdu,Mersin,40HC,$910,60,$10.00
Shanghai,Oslo,20GP,$90,60,$5.00
Shanghai,"Oakland, CA",20GP,$240,75,$5.00
Shanghai,Novosibirsk,40GP,"$2,070",75,$10.00
Chengdu,Lodz,40HC,"$1,577",60,$10.00
Shanghai,"Norfolk, VA",20GP,$360,100,$5.00
Chengdu,Liverpool,40HC,"$1,950",60,$10.00
Shanghai,Nhava Sheva,20GP,$50,100,$5.00
Chengdu,Le Havre,40HC,"$1,670",60,$10.00
Shanghai,"New York, NY",20GP,$370,60,$5.00
Shanghai,"New Orleans, LA",20GP,$620,75,$5.00
Shanghai,Munich,40GP,"$1,400",60,$10.00
Chengdu,Krasnojarsk,40HC,"$1,800",60,$10.00
Chengdu,Izmir,40HC,"$1,390",60,$10.00
Shanghai,Mundra,20GP,$50,100,$5.00
Shanghai,Moscow,40GP,"$1,775",60,$10.00
Chengdu,Istanbul,40HC,"$1,490",60,$10.00
Shanghai,Moscow,20GP,"$1,200",75,$5.00
Shanghai,Minsk,40GP,"$2,050",60,$10.00
Chengdu,Helsinki,40HC,$190,60,$10.00
Shanghai,Milano,40GP,"$1,540",60,$10.00
Chengdu,Genoa,40HC,"$1,990",60,$10.00
